variable,descripcion,archivos_presentes
dif_mate8b_deprov,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
dif_mate8b_rbd,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
dif_mate8b_reg,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
dif_nat2m_com,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__comuna
dif_nat2m_deprov,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__deprov
dif_nat2m_rbd,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__rbd
dif_nat2m_reg,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__region
dif_nat6b_com,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_comuna
dif_nat6b_deprov,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_deprov
dif_nat6b_rbd,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_rbd
dif_nat6b_reg,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_región
dif_nat8b_com,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_comuna
dif_nat8b_deprov,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_deprov
dif_nat8b_rbd,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_rbd
dif_nat8b_reg,Diferencia respecto al año anterior en Ciencias Naturales,simce_8b_2017_region
dif_soc2m_com,Diferencia respecto al año anterior en Ciencias Sociales,"simce_2m_2017_comuna, simce_2m_2018_comuna"
dif_soc2m_deprov,Diferencia respecto al año anterior en Ciencias Sociales,"simce_2m_2017_deprov, simce_2m_2018_deprov"
dif_soc2m_rbd,Diferencia respecto al año anterior en ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
dif_soc2m_reg,Diferencia respecto al año anterior en ciencias Sociales,"simce_2m_2017_región, simce_2m_2018_región"
dif_soc6b_com,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__comuna
dif_soc6b_deprov,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__deprov
dif_soc6b_rbd,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__rbd
dif_soc6b_reg,Diferencia respecto al año anterior en Ciencias Sociales (o equivalente),simce_6b_2016__region
dif_soc8b_com,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_comuna
dif_soc8b_deprov,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_deprov
dif_soc8b_rbd,Diferencia respecto al año anterior en ciencias sociales,simce_6b_2018_rbd
dif_soc8b_reg,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_region
difgru,Diferencia con el mismo GSE,"idps_2m_2024_idps, idps_2m_2025_idps, idps_4b_2024_idps, idps_4b_2025_idps, idps_6b_2024_idps, idps_8b_2025_idps"
difgru_hist8b_rbd,Diferencia con respecto al mismo GSE en Historia,simce_8b_2025__rbd
difgru_lect2m_rbd,Diferencia con respecto al mismo GSE en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
difgru_lect4b_rbd,Diferencia con respecto al mismo GSE en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
difgru_lect6b_rbd,Diferencia con respecto al mismo GSE en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
difgru_lect8b_rbd,Diferencia con respecto al mismo GSE en Lectura,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
difgru_mate2m_rbd,Diferencia con respecto al mismo GSE en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
difgru_mate4b_rbd,Diferencia con respecto al mismo GSE en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
difgru_mate6b_rbd,Diferencia con respecto al mismo GSE en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
difgru_mate8b_rbd,Diferencia con respecto al mismo GSE en Matemática,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
difgru_nat2m_rbd,Diferencia con respecto al mismo GSE en Ciencias Naturales (o equivalente),simce_2m_2016__rbd
difgru_nat6b_rbd,Diferencia con respecto al mismo GSE en Ciencias Sociales,simce_6b_2018_rbd
difgru_nat8b_rbd,Diferencia con respecto al mismo GSE en Ciencias Naturales,simce_8b_2017_rbd
difgru_soc2m_rbd,Diferencia con respecto al mismo GSE en Ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
difgru_soc6b_rbd,Diferencia con respecto al mismo GSE en Ciencias Sociales (o equivalente),simce_6b_2016__rbd
difgru_soc8b_rbd,Diferencia con respecto al mismo GSE en Ciencias sociales,simce_6b_2018_rbd
dim,Dimensión del indicador,"idps_2m_2022_dim_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps_niveles, idps_4b_2022_dim_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps_niveles, idps_6b_2024_dim_idps, idps_6b_2024_idps_niveles"
dvrbd,Dígito verificador RBD,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
fecha_bbdd,Fecha en la que se construyó esta bbdd,"idps_2m_2022_dim_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2022_dim_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__rbd, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_rbd, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_rbd, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__rbd, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__rbd, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__rbd, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__rbd, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__rbd, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_rbd, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_rbd, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__rbd, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__rbd, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__rbd, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__rbd, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__rbd, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_rbd, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__rbd, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_rbd, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__rbd, simce_8b_2025__region"
grado,Grado en el que se rinde la evaluación,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__rbd, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_rbd, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_rbd, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__rbd, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__rbd, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__rbd, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__rbd, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__rbd, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_rbd, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_rbd, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__rbd, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__rbd, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__rbd, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__rbd, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__rbd, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_rbd, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__rbd, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_rbd, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__rbd, simce_8b_2025__region"
id_dimension,Dimensión del indicador,"idps_2m_2025_dim_idps, idps_2m_2025_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps_niveles"
id_indicador,Indicador,"idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles"
id_subdimension,Subdimensión,"idps_2m_2025_idps_niveles, idps_4b_2025_idps_niveles, idps_8b_2025_idps_niveles"
ind,Indicador,"idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles"
ind_am,Puntaje Indicador Autoestima académica y motivación escolar del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_cc,Puntaje Indicador Clima de Convivencia escolar del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_hv,Puntaje Indicador Habitos de vida saludable del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_pf,Puntaje Indicador Participación y formación ciudadana del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
marca_hist8b_rbd,Razón por la que no se muestra el puntaje promedio Historia del establecimiento,simce_8b_2025__rbd
marca_lect2m_rbd,Razón por la que no se muestra el puntaje promedio Lectura del establecimiento,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
marca_lect4b_rbd,Razón por la que no se muestra el puntaje promedio Lectura del establecimiento,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
marca_lect6b_rbd,Razón por la que no se muestra el puntaje promedio Lectura del establecimiento,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
marca_lect8b_rbd,Razón por la que no se muestra el puntaje promedio Lectura del establecimiento,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
marca_mate2m_rbd,Razón por la que no se muestra el puntaje promedio Matemática del establecimient,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
marca_mate4b_rbd,Razón por la que no se muestra el puntaje promedio Matemática del establecimient,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
marca_mate6b_rbd,Razón por la que no se muestra el puntaje promedio Matemática del establecimient,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
marca_mate8b_rbd,Razón por la que no se muestra el puntaje promedio Matemática del establecimiento,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
marca_nat2m_rbd,Razón por la que no se muestra el puntaje promedio Ciencias Naturales del establ,simce_2m_2016__rbd
marca_nat6b_rbd,Razón por la que no se muestra el puntaje promedio Ciencias Sociales del establecimiento,simce_6b_2018_rbd
marca_nat8b_rbd,Razón por la que no se muestra el puntaje promedio Ciencias Naturales del establecimient,simce_8b_2017_rbd
marca_soc2m_rbd,Razón por la que no se muestra el puntaje promedio Ciencias Sociales del establecimiento,"simce_2m_2017_rbd, simce_2m_2018_rbd"
marca_soc6b_rbd,Razón por la que no se muestra el puntaje promedio Ciencias Sociales del estable,simce_6b_2016__rbd
marca_soc8b_rbd,Razón por la que no se muestra el puntaje promedio Ciencias sociales del establecimiento,simce_6b_2018_rbd
marcadif_hist8b_rbd,Razón por la que no se muestran diferencias en Historia,simce_8b_2025__rbd
marcadif_lect2m_rbd,Razón por la que no se muestra el puntaje en diferencias Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
marcadif_lect4b_rbd,Razón por la que no se muestra el puntaje en diferencias Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
marcadif_lect6b_rbd,Razón por la que no se muestra el puntaje en diferencias Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
marcadif_lect8b_rbd,Razón por la que no se muestra el puntaje en diferencias Lectura,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
marcadif_mate2m_rbd,Razón por la que no se muestra el puntaje en diferencias Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
marcadif_mate4b_rbd,Razón por la que no se muestra el puntaje en diferencias Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
marcadif_mate6b_rbd,Razón por la que no se muestra el puntaje en diferencias Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
marcadif_mate8b_rbd,Razón por la que no se muestra el puntaje en diferencias Matemática,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
marcadif_nat2m_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias Naturales,simce_2m_2016__rbd
marcadif_nat6b_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias Sociales,simce_6b_2018_rbd
marcadif_nat8b_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias Naturales,simce_8b_2017_rbd
marcadif_soc2m_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
marcadif_soc6b_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias Sociales,simce_6b_2016__rbd
marcadif_soc8b_rbd,Razón por la que no se muestra el puntaje en diferencias Ciencias sociales,simce_6b_2018_rbd
mdif,Marca de la diferencia con respecto a la evaluación anterior,"idps_2m_2025_idps, idps_4b_2025_idps, idps_8b_2025_idps"
mdifgru,Marca de la diferencia con respecto a la mismo GSE,"idps_2m_2025_idps, idps_4b_2025_idps, idps_8b_2025_idps"
nalu_hist8b_rbd,Número de alumnos que rinde Historia,simce_8b_2025__rbd
nalu_lect2m_rbd,Número de alumnos que rinde Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
nalu_lect4b_rbd,Número de alumnos que rinde Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
nalu_lect6b_rbd,Número de alumnos que rinde Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
nalu_lect8b_rbd,Número de alumnos con puntaje Lectura,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nalu_mate2m_rbd,Número de alumnos que rinde Matemáticas,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
nalu_mate4b_rbd,Número de alumnos que rinde Matemáticas,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
nalu_mate6b_rbd,Número de alumnos que rinde Matemáticas,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
nalu_mate8b_rbd,Número de alumnos con puntaje Matemáticas,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nalu_nat2m_rbd,Número de alumnos que rinde Ciencias Naturales (o equivalente),simce_2m_2016__rbd
nalu_nat6b_rbd,Número de alumnos que rinde Ciencias Sociales,simce_6b_2018_rbd
nalu_nat8b_rbd,Número de alumnos que rinde ciencias naturales,simce_8b_2017_rbd
nalu_soc2m_rbd,Número de alumnos que rinde Ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
nalu_soc6b_rbd,Número de alumnos que rinde Ciencias Sociales (o equivalente),simce_6b_2016__rbd
nalu_soc8b_rbd,Número de alumnos con puntaje Ciencias sociales,simce_6b_2018_rbd
niv_alto_por,Porcentaje de estudiantes en nivel alto,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_bajo_por,Porcentaje de estudiantes en nivel bajo,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_malto_por,"Marca Porcentaje nivel alto
","idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_mbajo_por,Marca Porcentaje nivel bajo,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
