variable,descripcion,archivos_presentes
niv_medio_por,Porcentaje de estudiantes en nivel medio,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_mmedio_por,Marca Porcentaje nivel medio,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
nivel,Nivel,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_6b_2024_idps_niveles"
noaplica,Establecimiento no se considera en la aplicación,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nom_com,Nombre de la comuna año 2016,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2018_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna, simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
nom_com_rbd,Nombre de la comunas del establecimiento año 2016,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nom_deprov,Nombre Departamento Provincial,"simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2025__comuna, simce_8b_2025__deprov"
nom_deprov_rbd,Nombre Deprov del establecimiento año 2014,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nom_pro,Nombre de provincia año 2016,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2018_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna, simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
nom_pro_rbd,Nombre del departamento provincial del establecimieto año 2016,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nom_rbd,Nombre del establecimiento,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
nom_reg,Nombre de región año 2016,"simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__region"
nom_reg_rbd,Nombre de la región del establecimiento año 2016,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
palu_eda_ade_lect2m_com,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_2m_2025__comuna
palu_eda_ade_lect2m_deprov,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_2m_2025__deprov
palu_eda_ade_lect2m_rbd,Porcentaje de estudiantes con estándar adecuado en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ade_lect2m_reg,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_2m_2025__region
palu_eda_ade_lect4b_com,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_4b_2025__comuna
palu_eda_ade_lect4b_deprov,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_4b_2025__deprov
palu_eda_ade_lect4b_rbd,Porcentaje de estudiantes con estándar adecuado en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ade_lect4b_reg,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_4b_2025__region
palu_eda_ade_lect6b_rbd,Porcentaje de estudiantes con estándar adecuado en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ade_lect8b_com,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_8b_2025__comuna
palu_eda_ade_lect8b_deprov,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_8b_2025__deprov
palu_eda_ade_lect8b_rbd,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_8b_2025__rbd
palu_eda_ade_lect8b_reg,Porcentaje de estudiantes con estándar adecuado en Lectura,simce_8b_2025__region
palu_eda_ade_mate2m_com,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_2m_2025__comuna
palu_eda_ade_mate2m_deprov,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_2m_2025__deprov
palu_eda_ade_mate2m_rbd,Porcentaje de estudiantes con estándar adecuado en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ade_mate2m_reg,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_2m_2025__region
palu_eda_ade_mate4b_com,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_4b_2025__comuna
palu_eda_ade_mate4b_deprov,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_4b_2025__deprov
palu_eda_ade_mate4b_rbd,Porcentaje de estudiantes con estándar adecuado en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ade_mate4b_reg,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_4b_2025__region
palu_eda_ade_mate6b_rbd,Porcentaje de estudiantes con estándar adecuado en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ade_mate8b_com,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_8b_2025__comuna
palu_eda_ade_mate8b_deprov,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_8b_2025__deprov
palu_eda_ade_mate8b_rbd,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_8b_2025__rbd
palu_eda_ade_mate8b_reg,Porcentaje de estudiantes con estándar adecuado en Matemática,simce_8b_2025__region
palu_eda_ele_lect2m_com,Porcentaje de estudiantes con estándar elemental en Lectura,simce_2m_2025__comuna
palu_eda_ele_lect2m_deprov,Porcentaje de estudiantes con estándar elemental en Lectura,simce_2m_2025__deprov
palu_eda_ele_lect2m_rbd,Porcentaje de estudiantes con estándar elemental en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ele_lect2m_reg,Porcentaje de estudiantes con estándar elemental en Lectura,simce_2m_2025__region
palu_eda_ele_lect4b_com,Porcentaje de estudiantes con estándar elemental en Lectura,simce_4b_2025__comuna
palu_eda_ele_lect4b_deprov,Porcentaje de estudiantes con estándar elemental en Lectura,simce_4b_2025__deprov
palu_eda_ele_lect4b_rbd,Porcentaje de estudiantes con estándar elemental en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ele_lect4b_reg,Porcentaje de estudiantes con estándar elemental en Lectura,simce_4b_2025__region
palu_eda_ele_lect6b_rbd,Porcentaje de estudiantes con estándar elemental en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ele_lect8b_com,Porcentaje de estudiantes con estándar elemental en Lectura,simce_8b_2025__comuna
palu_eda_ele_lect8b_deprov,Porcentaje de estudiantes con estándar elemental en Lectura,simce_8b_2025__deprov
palu_eda_ele_lect8b_rbd,Porcentaje de estudiantes con estándar elemental en Lectura,simce_8b_2025__rbd
palu_eda_ele_lect8b_reg,Porcentaje de estudiantes con estándar elemental en Lectura,simce_8b_2025__region
palu_eda_ele_mate2m_com,Porcentaje de estudiantes con estándar elemental en Matemática,simce_2m_2025__comuna
palu_eda_ele_mate2m_deprov,Porcentaje de estudiantes con estándar elemental en Matemática,simce_2m_2025__deprov
palu_eda_ele_mate2m_rbd,Porcentaje de estudiantes con estándar elemental en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ele_mate2m_reg,Porcentaje de estudiantes con estándar elemental en Matemática,simce_2m_2025__region
palu_eda_ele_mate4b_com,Porcentaje de estudiantes con estándar elemental en Matemática,simce_4b_2025__comuna
palu_eda_ele_mate4b_deprov,Porcentaje de estudiantes con estándar elemental en Matemática,simce_4b_2025__deprov
palu_eda_ele_mate4b_rbd,Porcentaje de estudiantes con estándar elemental en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ele_mate4b_reg,Porcentaje de estudiantes con estándar elemental en Matemática,simce_4b_2025__region
palu_eda_ele_mate6b_rbd,Porcentaje de estudiantes con estándar elemental en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ele_mate8b_com,Porcentaje de estudiantes con estándar elemental en Matemática,simce_8b_2025__comuna
palu_eda_ele_mate8b_deprov,Porcentaje de estudiantes con estándar elemental en Matemática,simce_8b_2025__deprov
palu_eda_ele_mate8b_rbd,Porcentaje de estudiantes con estándar elemental en Matemática,simce_8b_2025__rbd
palu_eda_ele_mate8b_reg,Porcentaje de estudiantes con estándar elemental en Matemática,simce_8b_2025__region
palu_eda_ins_lect2m_com,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_2m_2025__comuna
palu_eda_ins_lect2m_deprov,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_2m_2025__deprov
palu_eda_ins_lect2m_rbd,Porcentaje de estudiantes con estándar insuficiente en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ins_lect2m_reg,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_2m_2025__region
palu_eda_ins_lect4b_com,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_4b_2025__comuna
palu_eda_ins_lect4b_deprov,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_4b_2025__deprov
palu_eda_ins_lect4b_rbd,Porcentaje de estudiantes con estándar insuficiente en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ins_lect4b_reg,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_4b_2025__region
palu_eda_ins_lect6b_rbd,Porcentaje de estudiantes con estándar insuficiente en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ins_lect8b_com,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_8b_2025__comuna
palu_eda_ins_lect8b_deprov,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_8b_2025__deprov
palu_eda_ins_lect8b_rbd,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_8b_2025__rbd
palu_eda_ins_lect8b_reg,Porcentaje de estudiantes con estándar insuficiente en Lectura,simce_8b_2025__region
palu_eda_ins_mate2m_com,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_2m_2025__comuna
palu_eda_ins_mate2m_deprov,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_2m_2025__deprov
palu_eda_ins_mate2m_rbd,Porcentaje de estudiantes con estándar insuficiente en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
palu_eda_ins_mate2m_reg,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_2m_2025__region
palu_eda_ins_mate4b_com,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_4b_2025__comuna
palu_eda_ins_mate4b_deprov,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_4b_2025__deprov
palu_eda_ins_mate4b_rbd,Porcentaje de estudiantes con estándar insuficiente en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
palu_eda_ins_mate4b_reg,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_4b_2025__region
palu_eda_ins_mate6b_rbd,Porcentaje de estudiantes con estándar insuficiente en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
palu_eda_ins_mate8b_com,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_8b_2025__comuna
palu_eda_ins_mate8b_deprov,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_8b_2025__deprov
palu_eda_ins_mate8b_rbd,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_8b_2025__rbd
palu_eda_ins_mate8b_reg,Porcentaje de estudiantes con estándar insuficiente en Matemática,simce_8b_2025__region
prom,Puntaje promedio del indicador escolar del colegio,"idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2025_dim_idps, idps_8b_2025_idps"
prom_hist8b_com,Puntaje promedio comunal en Historia,simce_8b_2025__comuna
prom_hist8b_deprov,Puntaje promedio DEPROV en Historia,simce_8b_2025__deprov
prom_hist8b_rbd,Puntaje promedio del establecimiento en Historia,simce_8b_2025__rbd
prom_hist8b_reg,Puntaje promedio regional en Historia,simce_8b_2025__region
prom_lect2m_com,Puntaje promedio comunal en Lectura,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
prom_lect2m_deprov,Puntaje promedio DEPROV en Lectura,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
prom_lect2m_rbd,Puntaje promedio del establecimiento en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
