variable,descripcion,archivos_presentes
prom_lect2m_reg,Puntaje promedio regional en Lectura,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
prom_lect4b_com,Puntaje promedio comunal en Lectura,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
prom_lect4b_deprov,Puntaje promedio DEPROV en Lectura,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
prom_lect4b_rbd,Puntaje promedio del establecimiento en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
prom_lect4b_reg,Puntaje promedio regional en Lectura,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
prom_lect6b_com,Puntaje promedio comunal en Lectura,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
prom_lect6b_deprov,Puntaje promedio DEPROV en Lectura,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
prom_lect6b_rbd,Puntaje promedio del establecimiento en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
prom_lect6b_reg,Puntaje promedio regional en Lectura,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
prom_lect8b_com,Puntaje promedio comunal en Lectura,"simce_8b_2017_comuna, simce_8b_2025__comuna"
prom_lect8b_deprov,Puntaje promedio DEPROV en Lectura,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
prom_lect8b_rbd,Puntaje promedio del establecimiento en Lectura,"simce_6b_2018_comuna, simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
prom_lect8b_reg,Puntaje promedio regional en Lectura,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
prom_mate2m_com,Puntaje promedio comunal en Matemática,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
prom_mate2m_deprov,Puntaje promedio DEPROV en Matemática,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
prom_mate2m_rbd,Puntaje promedio del establecimiento en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
prom_mate2m_reg,Puntaje promedio regional en Matemática,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
prom_mate4b_com,Puntaje promedio comunal en Matemática,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
prom_mate4b_deprov,Puntaje promedio DEPROV en Matemática,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
prom_mate4b_rbd,Puntaje promedio del establecimiento en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
prom_mate4b_reg,Puntaje promedio regional en Matemática,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
prom_mate6b_com,Puntaje promedio comunal en Matemática,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
prom_mate6b_deprov,Puntaje promedio DEPROV en Matemática,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
prom_mate6b_rbd,Puntaje promedio del establecimiento en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
prom_mate6b_reg,Puntaje promedio regional en Matemática,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
prom_mate8b_com,Puntaje promedio comunal en Matemática,"simce_8b_2017_comuna, simce_8b_2025__comuna"
prom_mate8b_deprov,Puntaje promedio DEPROV en Matemática,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
prom_mate8b_rbd,Puntaje promedio del establecimiento en Matemática,"simce_6b_2018_comuna, simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
prom_mate8b_reg,Puntaje promedio regional en Matemática,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
prom_nat2m_com,Puntaje promedio comunal en Ciencias Naturales (o equivalente),simce_2m_2016__comuna
prom_nat2m_deprov,Puntaje promedio DEPROV en Ciencias Naturales (o equivalente),simce_2m_2016__deprov
prom_nat2m_rbd,Puntaje promedio del establecimiento en Ciencias Naturales(o equivalente),simce_2m_2016__rbd
prom_nat2m_reg,Puntaje promedio regional en Ciencias Naturales (o equivalente),simce_2m_2016__region
prom_nat6b_com,Puntaje promedio comunal en Ciencias Sociales,simce_6b_2018_comuna
prom_nat6b_deprov,Puntaje promedio DEPROV en Ciencias Sociales,simce_6b_2018_deprov
prom_nat6b_rbd,Puntaje promedio del establecimiento en Ciencias Sociales,simce_6b_2018_rbd
prom_nat6b_reg,Puntaje promedio regional en Ciencias Sociales,simce_6b_2018_región
prom_nat8b_com,Puntaje promedio comunal en Ciencias Naturales,simce_8b_2017_comuna
prom_nat8b_deprov,Puntaje promedio DEPROV en Ciencias Naturales,simce_8b_2017_deprov
prom_nat8b_rbd,Puntaje promedio del establecimiento en ciencias naturales,simce_8b_2017_rbd
prom_nat8b_reg,Puntaje promedio regional en Ciencias Naturales,simce_8b_2017_region
prom_sco2m_deprov,Puntaje promedio DEPROV en Ciencias Sociales,"simce_2m_2017_deprov, simce_2m_2018_deprov"
prom_soc2m_com,Puntaje promedio comunal en Ciencias Sociales,"simce_2m_2017_comuna, simce_2m_2018_comuna"
prom_soc2m_rbd,Puntaje promedio del establecimiento en Ciencias Sociales,"simce_2m_2017_rbd, simce_2m_2018_rbd"
prom_soc2m_reg,Puntaje promedio regional en Ciencias Sociales,"simce_2m_2017_región, simce_2m_2018_región"
prom_soc6b_com,Puntaje promedio comunal en Ciencias Sociales (o equivalente),simce_6b_2016__comuna
prom_soc6b_deprov,Puntaje promedio DEPROV en Ciencias Sociales (o equivalente),simce_6b_2016__deprov
prom_soc6b_rbd,Puntaje promedio del establecimiento en Ciencias Sociales (o equivalente),simce_6b_2016__rbd
prom_soc6b_reg,Puntaje promedio regional en Ciencias Sociales (o equivalente),simce_6b_2016__region
prom_soc8b_deprov,Puntaje promedio DEPROV en Ciencias Sociales,simce_6b_2018_deprov
prom_soc8b_rbd,Puntaje promedio del establecimiento en Ciencias sociales,"simce_6b_2018_comuna, simce_6b_2018_rbd"
prom_soc8b_reg,Puntaje promedio regional en Ciencias Sociales,simce_6b_2018_region
rbd,Rol base de datos del establecimiento,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
sdim,Subdimensión,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_6b_2024_idps_niveles"
sigdif,Indica si diferencia con la evaluación anterior es significativa,"idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2024_idps, idps_8b_2025_dim_idps, idps_8b_2025_idps"
sigdif_hist8b_com,Indica si diferencia respecto a la evaluación anterior en Historia es significativa,simce_8b_2025__comuna
sigdif_hist8b_deprov,Indica si diferencia respecto a la evaluación anterior en Historia es significativa,simce_8b_2025__deprov
sigdif_hist8b_rbd,Indica si diferencia con la evaluación anterior en Historia es significativa,simce_8b_2025__rbd
sigdif_hist8b_reg,Indica si diferencia respecto a la evaluación anterior en Historia es significativa,simce_8b_2025__region
sigdif_lect2m_com,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
sigdif_lect2m_deprov,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
sigdif_lect2m_rbd,Indica si diferencia con el año anterior en Lectura es significativa,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
sigdif_lect2m_reg,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
sigdif_lect4b_com,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
sigdif_lect4b_deprov,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
sigdif_lect4b_rbd,Indica si diferencia con el año anterior en Lectura es significativa,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
sigdif_lect4b_reg,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
sigdif_lect6b_com,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
sigdif_lect6b_deprov,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
sigdif_lect6b_rbd,Indica si diferencia con el año anterior en Lectura es significativa,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
sigdif_lect6b_reg,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
sigdif_lect8b_com,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2018_comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
sigdif_lect8b_deprov,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
sigdif_lect8b_rbd,Indica si diferencia con el año anterior en Lectura es significativa,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
sigdif_lect8b_reg,Indica si diferencia respecto al año anterior en Lectura es significativa,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
sigdif_mate2m_com,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
sigdif_mate2m_deprov,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
sigdif_mate2m_rbd,Indica si diferencia con el año anterior en Matemática es significativa,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
sigdif_mate2m_reg,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
sigdif_mate4b_com,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
sigdif_mate4b_deprov,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
sigdif_mate4b_rbd,Indica si diferencia con el año anterior en Matemática es significativa,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
sigdif_mate4b_reg,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
sigdif_mate6b_com,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
sigdif_mate6b_deprov,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
sigdif_mate6b_rbd,Indica si diferencia con el año anterior en Matemática es significativa,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
sigdif_mate6b_reg,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
sigdif_mate8b_com,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2018_comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
sigdif_mate8b_deprov,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
sigdif_mate8b_rbd,Indica si diferencia con el año anterior en Matemática es significativa,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
sigdif_mate8b_reg,Indica si diferencia respecto al año anterior en Matemática es significativa,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
sigdif_nat2m_com,Indica si diferencia respecto al año anterior en Ciencias naturales es significa,simce_2m_2016__comuna
sigdif_nat2m_deprov,Indica si diferencia respecto al año anterior en Ciencias Naturales es significa,simce_2m_2016__deprov
sigdif_nat2m_rbd,Indica si diferencia con el año anterior en Ciencias Naturales es significativa,simce_2m_2016__rbd
sigdif_nat2m_reg,Indica si diferencia respecto al año anterior en Ciencias Naturales es significa,simce_2m_2016__region
sigdif_nat6b_com,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_comuna
sigdif_nat6b_deprov,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_deprov
sigdif_nat6b_rbd,Indica si diferencia con el año anterior en Ciencias Sociales es significativa,simce_6b_2018_rbd
sigdif_nat6b_reg,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_región
sigdif_nat8b_com,Indica si diferencia respecto al año anterior enCiencias Naturales es significativa,simce_8b_2017_comuna
sigdif_nat8b_deprov,Indica si diferencia respecto al año anterior en Ciencias Naturales es significativa,simce_8b_2017_deprov
sigdif_nat8b_rbd,Indica si diferencia con el año anterior en Ciencias naturales es significativa,simce_8b_2017_rbd
sigdif_nat8b_reg,Indica si diferencia respecto al año anterior enCiencias Naturales es significativa,simce_8b_2017_region
sigdif_soc2m_com,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,"simce_2m_2017_comuna, simce_2m_2018_comuna"
sigdif_soc2m_deprov,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,"simce_2m_2017_deprov, simce_2m_2018_deprov"
sigdif_soc2m_rbd,Indica si diferencia con el año anterior en Ciencias Sociales es significativa,"simce_2m_2017_rbd, simce_2m_2018_rbd"
sigdif_soc2m_reg,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,"simce_2m_2017_región, simce_2m_2018_región"
sigdif_soc6b_com,Indica si diferencia respecto al año anterior en Ciencias Sociales es significat,simce_6b_2016__comuna
sigdif_soc6b_deprov,Indica si diferencia respecto al año anterior en Ciencias Sociales es significat,simce_6b_2016__deprov
sigdif_soc6b_rbd,Indica si diferencia con el año anterior en Ciencias Sociales es significativa,simce_6b_2016__rbd
sigdif_soc6b_reg,Indica si diferencia respecto al año anterior en Ciencias Sociales es significat,simce_6b_2016__region
sigdif_soc8b_com,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_comuna
sigdif_soc8b_deprov,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_deprov
sigdif_soc8b_rbd,Indica si diferencia con el año anterior en Ciencias sociales es significativa,simce_6b_2018_rbd
sigdif_soc8b_reg,Indica si diferencia respecto al año anterior en Ciencias Sociales es significativa,simce_6b_2018_region
sigdifgru,Indica si diferencia con el mismo GSE es significativa,"idps_2m_2024_idps, idps_2m_2025_idps, idps_4b_2024_idps, idps_4b_2025_idps, idps_6b_2024_idps, idps_8b_2025_idps"
siggru_hist8b_rbd,Indica si diferencia con el mismo GSE en Historia es significativa,simce_8b_2025__rbd
siggru_lect2m_rbd,Indica si diferencia con el mismo GSE en Lectura es significativa,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
siggru_lect4b_rbd,Indica si diferencia con el mismo GSE en Lectura es significativa,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
siggru_lect6b_rbd,Indica si diferencia con el mismo GSE en Lectura es significativa,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
siggru_lect8b_rbd,Indica si diferencia con el mismo GSE en Lectura es significativa,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
siggru_mate2m_rbd,Indica si diferencia con el mismo GSE en Matemática es significativa,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
siggru_mate4b_rbd,Indica si diferencia con el mismo GSE en Matemática es significativa,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
siggru_mate6b_rbd,Indica si diferencia con el mismo GSE en Matemática es significativa,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
siggru_mate8b_rbd,Indica si diferencia con el mismo GSE en Matemática es significativa,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
siggru_nat2m_rbd,Indica si diferencia con el mismo GSE en Ciencias Naturales es significativa,simce_2m_2016__rbd
siggru_nat6b_rbd,Indica si diferencia con el mismo GSE en Ciencias Sociales es significativa,simce_6b_2018_rbd
siggru_nat8b_rbd,Indica si diferencia con el mismo GSE en Ciencias naturales es significativa,simce_8b_2017_rbd
siggru_soc2m_rbd,Indica si diferencia con el mismo GSE en Ciencias Sociales es significativa,"simce_2m_2017_rbd, simce_2m_2018_rbd"
siggru_soc6b_rbd,Indica si diferencia con el mismo GSE en Ciencias Sociales es significativa,simce_6b_2016__rbd
siggru_soc8b_rbd,Indica si diferencia con el mismo GSE en Ciencias sociales es significativa,simce_6b_2018_rbd
